Id,quality
336,6.4375
337,5.71875
338,5.5
339,6.90625
340,6.3125
341,6.40625
342,5.96875
343,5.90625
344,6.90625
345,6.125
346,6.0
347,5.3125
348,5.9375
349,6.53125
350,5.90625
351,5.96875
352,5.78125
353,6.65625
354,6.9375
355,6.1875
356,6.03125
357,5.78125
358,6.15625
359,5.71875
360,6.09375
361,5.84375
362,5.84375
363,5.375
364,6.40625
365,6.15625
366,5.34375
367,6.90625
368,6.09375
369,6.15625
370,6.09375
371,5.65625
372,5.84375
373,5.46875
374,5.84375
375,6.46875
376,5.84375
377,6.1875
378,5.96875
379,5.375
380,6.34375
381,6.1875
382,5.34375
383,5.875
384,5.9375
385,5.84375
386,5.875
387,6.3125
388,5.34375
389,6.46875
390,5.65625
391,6.5625
392,6.3125
393,5.65625
394,5.8125
395,6.34375
396,6.0625
397,5.03125
398,6.8125
399,6.21875
400,5.71875
401,5.09375
402,6.03125
403,5.03125
404,5.4375
405,5.125
406,6.375
407,5.875
408,5.625
409,5.59375
410,5.03125
411,6.53125
412,5.625
413,6.0
414,6.3125
415,5.84375
416,5.8125
417,6.5625
418,5.53125
419,5.875
420,6.6875
421,5.25
422,6.125
423,6.0625
424,5.53125
425,5.71875
426,5.53125
427,6.84375
428,6.75
429,6.0
430,5.5625
431,6.03125
432,6.0
433,5.09375
434,5.78125
435,4.96875
436,6.34375
437,6.0625
438,5.46875
439,6.0
440,5.90625
441,5.84375
442,5.21875
443,5.03125
444,6.90625
445,6.125
446,6.84375
447,5.09375
448,6.84375
449,5.5625
450,6.0
451,5.75
452,5.5625
453,5.90625
454,5.4375
455,6.09375
456,5.625
457,6.3125
458,5.5625
459,5.625
460,5.65625
461,6.59375
462,5.5625
463,6.0625
464,5.65625
465,5.75
466,5.8125
467,5.53125
468,6.375
469,6.21875
470,5.84375
471,5.53125
472,6.0
473,5.78125
474,5.96875
475,5.78125
476,5.0625
477,6.6875
478,5.15625
479,6.21875
480,5.90625
481,5.8125
482,5.90625
483,5.03125
484,5.15625
485,4.90625
486,6.6875
487,5.875
488,6.53125
489,5.4375
490,6.0625
491,5.8125
492,5.15625
493,5.6875
494,5.59375
495,5.8125
496,6.21875
497,5.4375
498,6.15625
499,6.4375
500,5.53125
501,5.1875
502,5.625
503,5.96875
504,5.1875
505,6.03125
506,6.0625
507,5.53125
508,5.875
509,5.0625
510,5.6875
511,6.90625
512,6.75
513,5.8125
514,6.875
515,5.96875
516,6.625
517,6.6875
518,5.15625
519,5.71875
520,5.34375
521,5.375
522,5.5
523,5.03125
524,5.6875
525,5.96875
526,5.09375
527,5.125
528,6.0625
529,6.125
530,5.53125
531,5.71875
532,6.25
533,5.9375
534,6.0
535,5.96875
536,5.125
537,5.5625
538,6.03125
539,5.84375
540,6.09375
541,6.0625
542,5.21875
543,5.96875
544,5.59375
545,6.34375
546,5.96875
547,6.46875
548,5.6875
549,5.9375
550,5.78125
551,5.8125
552,5.875
553,5.65625
554,5.53125
555,5.96875
556,6.0625
557,6.0625
558,5.5625
559,5.5625
560,5.28125
561,6.46875
562,6.46875
563,6.09375
564,6.03125
565,5.28125
566,5.46875
567,6.0
568,5.1875
569,6.1875
570,5.0625
571,6.125
572,5.9375
573,5.96875
574,5.0
575,6.71875
576,5.4375
577,5.6875
578,5.9375
579,5.65625
580,6.125
581,5.96875
582,6.0
583,6.8125
584,6.8125
585,5.625
586,5.9375
587,5.9375
588,6.03125
589,5.75
590,5.75
591,6.0
592,5.0625
593,6.34375
594,6.6875
595,5.8125
596,6.0
597,5.59375
598,6.6875
599,5.71875
600,6.09375
601,5.25
602,5.9375
603,5.84375
604,5.8125
605,6.0
606,5.8125
607,5.75
608,5.875
609,5.9375
610,5.53125
611,5.90625
612,6.375
613,5.09375
614,5.53125
615,5.625
616,5.15625
617,5.59375
618,5.96875
619,5.875
620,5.71875
621,5.4375
622,5.6875
623,5.96875
624,5.4375
625,6.34375
626,5.84375
627,5.96875
628,6.84375
629,5.875
630,6.125
631,6.1875
632,5.375
633,5.96875
634,6.5
635,6.15625
636,6.21875
637,5.28125
638,6.03125
639,5.0625
640,5.6875
641,6.03125
642,6.4375
643,5.46875
644,5.875
645,5.6875
646,5.5625
647,6.0
648,6.0
649,5.1875
650,5.84375
651,5.78125
652,5.90625
653,6.15625
654,6.1875
655,5.875
656,6.28125
657,6.0
658,5.375
659,5.8125
660,5.90625
661,5.84375
662,5.28125
663,5.90625
664,6.1875
665,6.59375
666,6.0
667,5.84375
668,5.59375
669,5.71875
670,6.03125
671,6.25
672,5.59375
673,5.4375
674,5.8125
675,5.28125
676,7.125
677,5.09375
678,5.0
679,5.5625
680,6.15625
681,5.84375
682,5.21875
683,5.78125
684,4.875
685,5.71875
686,6.75
687,5.46875
688,6.28125
689,6.84375
690,6.8125
691,5.96875
692,5.96875
693,5.09375
694,5.53125
695,6.625
696,5.96875
697,5.96875
698,5.40625
699,6.40625
700,4.96875
701,5.875
702,5.9375
703,5.09375
704,5.875
705,5.84375
706,5.125
707,5.5
708,6.0
709,5.59375
710,5.65625
711,6.53125
712,6.34375
713,6.4375
714,5.78125
715,5.90625
716,6.5
717,6.1875
718,5.875
719,5.46875
720,5.03125
721,6.09375
722,5.3125
723,6.1875
724,5.96875
725,5.34375
726,5.71875
727,5.34375
728,5.75
729,5.71875
730,7.0
731,5.96875
732,6.0625
733,5.5
734,5.84375
735,6.09375
736,5.75
737,5.0625
738,5.0625
739,5.78125
740,5.96875
741,5.9375
742,6.375
743,5.28125
744,6.625
745,6.28125
746,5.3125
747,5.9375
748,5.375
749,5.375
750,5.84375
751,6.09375
752,5.65625
753,5.375
754,6.8125
755,5.09375
756,6.0
757,6.96875
758,5.40625
759,5.71875
760,6.28125
761,5.21875
762,6.0
763,6.375
764,6.40625
765,6.09375
766,6.84375
767,6.90625
768,6.1875
769,5.1875
770,5.53125
771,5.46875
772,5.375
773,5.21875
774,5.90625
775,6.0
776,6.84375
777,6.3125
778,6.46875
779,5.4375
780,5.53125
781,6.0
782,5.28125
783,5.875
784,6.0625
785,5.875
786,6.34375
787,6.0
788,5.21875
789,6.625
790,6.46875
791,6.125
792,5.5
793,5.75
794,5.96875
795,6.03125
796,5.96875
797,5.90625
798,5.875
799,6.65625
800,5.65625
801,5.0625
802,6.9375
803,6.65625
804,5.375
805,6.15625
806,6.125
807,5.125
808,5.625
809,5.59375
810,5.5625
811,6.0
812,5.40625
813,6.0
814,6.0625
815,6.4375
816,5.6875
817,5.125
818,5.90625
819,6.15625
820,5.875
821,6.28125
822,5.625
823,6.4375
824,6.125
825,5.78125
826,5.625
827,6.40625
828,5.21875
829,5.6875
830,5.625
831,5.5625
832,5.875
833,5.90625
834,6.0
835,5.875
836,6.84375
837,5.9375
838,5.90625
839,7.0625
840,5.9375
841,5.375
842,5.65625
843,6.21875
844,6.46875
845,5.53125
846,5.90625
847,5.625
848,5.84375
849,6.09375
850,5.71875
851,6.59375
852,6.0625
853,5.90625
854,5.90625
855,6.0
856,6.53125
857,6.03125
858,6.0
859,5.25
860,6.1875
861,5.78125
862,5.96875
863,6.75
864,6.0625
865,5.6875
866,5.71875
867,5.53125
868,6.0
869,6.0625
870,6.125
871,5.84375
872,5.125
873,5.78125
874,5.21875
875,5.1875
876,5.21875
877,6.375
878,6.0625
879,5.84375
880,5.5
881,5.90625
882,6.03125
883,5.8125
884,6.46875
885,5.3125
886,5.09375
887,5.4375
888,6.15625
889,5.90625
890,5.28125
891,5.78125
892,6.09375
893,5.9375
894,6.65625
895,6.0
896,5.90625
897,5.375
898,5.65625
899,5.84375
900,5.96875
901,6.78125
902,5.5
903,5.9375
904,5.96875
905,6.53125
906,5.78125
907,5.9375
908,6.9375
909,5.96875
910,5.8125
911,6.59375
912,5.78125
913,5.8125
914,6.71875
915,6.0
916,6.90625
917,5.625
918,5.96875
919,6.3125
920,5.875
921,5.3125
922,5.1875
923,6.8125
924,5.375
925,5.4375
926,5.96875
927,6.375
928,5.125
929,6.0625
930,5.78125
931,5.625
932,5.625
933,5.8125
934,5.625
935,5.875
936,6.03125
937,5.03125
938,5.1875
939,6.3125
940,5.875
941,5.96875
942,5.84375
943,6.125
944,5.84375
945,5.53125
946,5.6875
947,5.65625
948,5.71875
949,6.46875
950,6.0625
951,6.25
952,6.03125
953,5.875
954,5.6875
955,6.0625
956,5.84375
957,5.28125
958,5.9375
959,5.90625
960,5.75
961,6.375
962,5.875
963,5.6875
964,6.34375
965,6.125
966,6.0
967,5.6875
968,5.21875
969,6.875
970,6.875
971,5.96875
972,5.53125
973,5.78125
974,5.78125
975,6.46875
976,5.96875
977,6.1875
978,5.3125
979,5.34375
